x,y,time,hab0,hab1,hab2,hab3,hab4,hab5,strDist
190,66,1.01833,0,0,0,0,0,1,-0.934185543
190,66,1.51833,0,0,0,0,0,1,-0.909815
189,63,2.01778,0,0,0,0,0,1,-1.118798963
190,66,7.53778,0,0,0,0,0,1,-0.922524369
189,66,8.53583,0,0,0,0,0,1,-0.926193053
190,65,12.52944,0,0,0,0,0,1,-0.971396481
190,67,13.02111,0,0,0,0,0,1,-0.842468443
188,65,13.53028,0,0,0,0,0,1,-1.022758057
188,64,14.01194,0,0,0,0,0,1,-1.093511249
188,61,14.51139,0,0,0,0,0,1,-0.943619302
189,61,15.0125,0,0,0,0,0,1,-0.902084558
187,63,17.02722,0,0,0,0,0,1,-1.105958569
188,64,17.53389,0,0,0,0,0,1,-1.09442842
187,64,18.01333,0,0,0,0,0,1,-1.082636221
187,64,18.5175,0,0,0,0,0,1,-1.071761193
188,64,19.01,0,0,0,0,0,1,-1.069664803
188,63,19.54083,0,0,0,0,0,1,-1.069533778
187,61,31.01833,0,0,0,0,0,1,-0.891733628
188,62,33.51833,0,0,0,0,0,1,-0.972182628
189,61,36.55,0,0,0,0,0,1,-0.931958128
189,62,38.03583,0,0,0,0,0,1,-0.960390429
188,60,38.51333,0,0,0,0,0,1,-0.86277723
188,61,39.01722,0,0,0,0,0,1,-0.931827104
188,61,43.01833,0,0,0,0,0,1,-0.917283392
189,61,43.54694,0,0,0,0,0,1,-0.870638695
188,61,50.51861,0,0,0,0,0,1,-0.906539389
198,61,62.0175,0,0,0,0,0,1,-1.110544424
190,56,64.01472,0,0,0,1,0,0,-0.474420823
190,56,65.51861,0,0,0,1,0,0,-0.475600043
191,56,67.01861,0,0,0,1,0,0,-0.487392242
190,55,69.04139,0,0,0,1,0,0,-0.358202155
191,54,72.51916,0,0,0,1,0,0,-0.344968688
191,54,73.03583,0,0,0,1,0,0,-0.314833069
191,54,75.52361,0,0,0,1,0,0,-0.28142184
191,55,76.0025,0,0,0,1,0,0,-0.399736899
192,54,76.51056,0,0,0,1,0,0,-0.328197561
191,54,78.01306,0,0,0,1,0,0,-0.295310429
191,54,79.01667,0,0,0,1,0,0,-0.325183999
191,54,79.51861,0,0,0,1,0,0,-0.297144771
191,54,80.01028,0,0,0,1,0,0,-0.331211123
191,54,80.52694,0,0,0,1,0,0,-0.317584582
191,55,81.02667,0,0,0,1,0,0,-0.34444459
191,55,81.53944,0,0,0,1,0,0,-0.340775906
191,55,82.01139,0,0,0,1,0,0,-0.354533471
207,56,82.51361,0,1,0,0,0,0,-1.05656236
208,56,83.01361,0,1,0,0,0,0,-1.045163234
208,57,83.51194,0,1,0,0,0,0,-1.093642273
206,55,84.5275,0,1,0,0,0,0,-0.922917442
206,55,86.04056,0,1,0,0,0,0,-0.950432572
206,55,86.52722,0,1,0,0,0,0,-0.976637458
206,55,87.545,0,1,0,0,0,0,-0.933268372
206,55,88.03694,0,1,0,0,0,0,-0.959080185
203,56,90.04028,0,0,0,0,0,1,-1.0186963
193,55,90.54917,0,0,0,1,0,0,-0.510452541
191,56,93.00972,0,0,0,1,0,0,-0.452277695
190,56,94.02667,0,0,0,1,0,0,-0.447036718
196,62,103.51056,0,0,0,0,0,1,-1.106089594
194,63,104.01389,0,0,0,0,0,1,-1.093380224
195,61,109.51556,0,0,0,0,0,1,-0.953839208
195,63,110.01694,0,0,0,0,0,1,-1.090366662
185,64,118.53694,0,0,0,0,0,1,-1.091152809
176,65,127.52139,0,0,0,0,0,1,-1.081194952
172,64,128.01833,0,0,0,0,0,1,-1.030357474
173,71,135.00556,0,0,0,0,0,1,-0.687990642
159,70,142.03944,0,0,0,0,0,1,-1.05983797
159,72,142.53028,0,0,0,0,0,1,-0.964190137
163,72,144.01194,0,0,0,0,0,1,-1.05420392
169,72,144.53527,0,0,0,0,0,1,-0.869197427
170,75,145.045,0,0,0,0,0,1,-0.626671209
169,77,147.04694,0,0,0,0,0,1,-0.553559578
164,72,153.02694,0,0,0,0,0,1,-1.101372714
164,72,153.52806,0,0,0,0,0,1,-1.090628711
164,73,156.51333,0,0,0,0,0,1,-1.112247742
164,72,157.02778,0,0,0,0,0,1,-1.083815441
162,70,157.51056,0,0,0,0,0,1,-1.011883029
161,70,158.01556,0,0,0,0,0,1,-1.017255031
162,70,158.525,0,0,0,0,0,1,-0.988953754
163,72,159.54667,0,0,0,0,0,1,-1.04739065
170,66,165.01056,0,0,0,0,0,1,-1.072285291
179,66,169.50722,0,0,0,0,0,1,-0.995373951
181,62,184.02722,0,0,0,0,0,1,-0.93942652
177,64,185.53306,0,0,0,0,0,1,-1.103076032
173,74,186.52694,0,0,0,0,0,1,-0.477041312
173,74,187.01528,0,0,0,0,0,1,-0.477958483
154,82,194.54472,0,0,0,0,0,1,-1.069140705
146,86,195.00333,0,0,0,0,0,1,-1.079491635
144,93,196.01611,0,0,0,0,0,1,-0.725987726
146,86,199.53556,0,0,0,0,0,1,-1.05538314
146,86,200.0125,0,0,0,0,0,1,-1.036646646
146,85,200.51833,0,0,0,0,0,1,-1.096262762
147,86,201.00306,0,0,0,0,0,1,-1.013848396
148,83,201.53389,0,0,0,0,0,1,-1.060493093
153,84,202.01917,0,0,0,0,0,1,-0.978995898
151,77,202.535,0,0,0,0,1,0,-0.732800996
157,77,203.04417,0,0,0,0,0,1,-1.108972131
160,78,206.51806,0,0,0,0,0,1,-1.044246063
160,77,207.00861,0,0,0,0,0,1,-1.098097104
158,74,207.5225,0,0,0,0,0,1,-1.083946465
157,71,208.04389,0,0,0,0,0,1,-1.096786859
159,70,210.0325,0,0,0,0,0,1,-1.036122549
159,72,210.525,0,0,0,0,0,1,-0.990132974
162,70,215.51889,0,0,0,0,0,1,-1.007297174
171,71,221.54194,0,0,0,0,0,1,-0.756516418
172,67,222.02361,0,0,0,0,0,1,-1.039791233
172,66,222.51111,0,0,0,0,0,1,-1.058658751
176,66,224.535,0,0,0,0,0,1,-0.961176576
176,65,227.52139,0,0,0,0,0,1,-1.028785181
